modelKey,code,featureKey,defaultValue
last_6_month_independent_android_finish_orders,DW_TS_BASIC_last6MonthIndependentAndroidFinishOrders,DW_TS_BASIC_last6MonthIndependentAndroidFinishOrders,-9999
last_1_year_passenger_finish_citys,DW_TS_BASIC_last1YearPassengerFinishCitys,DW_TS_BASIC_last1YearPassengerFinishCitys,-9999
last_6_month_passenger_weekend_finish_orders,DW_TS_BASIC_last6MonthPassengerWeekendFinishOrders,DW_TS_BASIC_last6MonthPassengerWeekendFinishOrders,-9999
last_1_month_international_driver_finish_orders,DW_TS_BASIC_last1MonthInternationalDriverFinishOrders,DW_TS_BASIC_last1MonthInternationalDriverFinishOrders,-9999
last_1_year_passenger_evening_call_orders,DW_TS_BASIC_last1YearPassengerEveningCallOrders,DW_TS_BASIC_last1YearPassengerEveningCallOrders,-9999
last_1_month_passenger_coupon_deduction,DW_TS_BASIC_last1MonthPassengerCouponDeduction,DW_TS_BASIC_last1MonthPassengerCouponDeduction,-9999
uid_type_id_driver,DW_TS_BASIC_uidTypeId,DW_TS_BASIC_uidTypeId,-9999
max_last_6_month_finish_gmv,DW_TS_BASIC_maxLast6MonthFinishGmvNew,DW_TS_BASIC_maxLast6MonthFinishGmvNew,-9999
last_1_week_credit_home_duration,DW_TS_BASIC_last1WeekCreditHomeDuration,DW_TS_BASIC_last1WeekCreditHomeDuration,-9999
last_2_month_max_actual_cost,DW_TS_BASIC_last2MonthMaxActualCostNew,DW_TS_BASIC_last2MonthMaxActualCostNew,-9999
last_7_day_passenger_coupon_deduction,DW_TS_BASIC_last7DayPassengerCouponDeduction,DW_TS_BASIC_last7DayPassengerCouponDeduction,-9999
last_6_month_min_actual_cost,DW_TS_BASIC_last6MonthMinActualCost,DW_TS_BASIC_last6MonthMinActualCost,-9999
last_14_day_passenger_morning_finish_orders_rate,DW_TS_BASIC_last14DayPassengerMorningFinishOrdersRate,DW_TS_BASIC_last14DayPassengerMorningFinishOrdersRate,-9999
last_6_month_start_finish_position_num,DW_TS_BASIC_last6MonthStartFinishPositionNum,DW_TS_BASIC_last6MonthStartFinishPositionNum,-9999
last_3_month_passenger_avg_1km_actual_cost,DW_TS_BASIC_last3MonthPassengerAvg1kmActualCost,DW_TS_BASIC_last3MonthPassengerAvg1kmActualCost,-9999
last_1_month_passenger_evening_finish_orders_rate,DW_TS_BASIC_last1MonthPassengerEveningFinishOrdersRate,DW_TS_BASIC_last1MonthPassengerEveningFinishOrdersRate,-9999
last_3_month_international_passenger_call_orders,DW_TS_BASIC_last3MonthInternationalPassengerCallOrders,DW_TS_BASIC_last3MonthInternationalPassengerCallOrders,-9999
last_1_year_passenger_morning_finish_days_rate,DW_TS_BASIC_last1YearPassengerMorningFinishDaysRate,DW_TS_BASIC_last1YearPassengerMorningFinishDaysRate,-9999
last_6_month_international_sum_driver_online_days,DW_TS_BASIC_last6MonthInternationalSumDriverOnlineDays,DW_TS_BASIC_last6MonthInternationalSumDriverOnlineDays,-9999
last_3_month_passenger_address_finish_orders,DW_TS_BASIC_last3MonthPassengerAddressFinishOrders,DW_TS_BASIC_last3MonthPassengerAddressFinishOrders,-9999
last_1_year_international_passenger_night_finish_orders,DW_TS_BASIC_last1YearInternationalPassengerNightFinishOrders,DW_TS_BASIC_last1YearInternationalPassengerNightFinishOrders,-9999
last_1_month_independent_ios_finish_orders,DW_TS_BASIC_last1MonthIndependentIosFinishOrders,DW_TS_BASIC_last1MonthIndependentIosFinishOrders,-9999
last_6_month_international_passenger_late_time,DW_TS_BASIC_last6MonthInternationalPassengerLateTime,DW_TS_BASIC_last6MonthInternationalPassengerLateTime,-9999
last_6_month_soda_cancel_orders,DW_TS_BASIC_last6MonthPassengerCancelOrders,DW_TS_BASIC_last6MonthPassengerCancelOrders,-9999
last_3_month_passenger_offline_orders,DW_TS_BASIC_last3MonthPassengerOfflineOrders,DW_TS_BASIC_last3MonthPassengerOfflineOrders,-9999
last_1_month_international_driver_midnight_finish_orders,DW_TS_BASIC_last1MonthInternationalDriverMidnightFinishOrders,DW_TS_BASIC_last1MonthInternationalDriverMidnightFinishOrders,-9999
last_60_day_sum_original_cost,DW_TS_BASIC_last60DaySumOriginalCost,DW_TS_BASIC_last60DaySumOriginalCost,-9999
last_1_year_independent_android_finish_orders,DW_TS_BASIC_last1YearIndependentAndroidFinishOrders,DW_TS_BASIC_last1YearIndependentAndroidFinishOrders,-9999
last_3_month_passenger_evening_finish_days_rate,DW_TS_BASIC_last3MonthPassengerEveningFinishDaysRate,DW_TS_BASIC_last3MonthPassengerEveningFinishDaysRate,-9999
last_1_year_rank_a_shop_orders,DW_TS_BASIC_last1YearRankAShopOrders,DW_TS_BASIC_last1YearRankAShopOrders,-9999
last_14_day_same_mobile_uv,DW_TS_BASIC_last14DaySameMobileUv,DW_TS_BASIC_last14DaySameMobileUv,-9999
